,SEASON,TEAM_ID,TEAM_ABBR,IsHomeTeam,WINS,WINS_HOME,GAMES,PTS,PTS_opp,d_PTS_per_GAME,WIN_PCT_TOTAL,WIN_PCT_HOME_GMS,WIN_PCT_AWAY_GMS
277,2012,1610612745,HOU,41,45,29,82,8688,8403,3.475609756097561,0.5487804878048781,0.7073170731707317,0.3902439024390244
278,2012,1610612746,LAC,41,56,32,82,8289,7760,6.451219512195122,0.6829268292682927,0.7804878048780488,0.5853658536585366
279,2012,1610612747,LAL,41,45,29,82,8381,8286,1.1585365853658536,0.5487804878048781,0.7073170731707317,0.3902439024390244
280,2012,1610612748,MIA,41,66,37,82,8436,7791,7.865853658536586,0.8048780487804879,0.9024390243902439,0.7073170731707317
281,2012,1610612749,MIL,41,38,21,82,8108,8231,-1.5,0.4634146341463415,0.5121951219512195,0.4146341463414634
282,2012,1610612750,MIN,41,31,20,82,7851,8045,-2.3658536585365852,0.3780487804878049,0.4878048780487805,0.2682926829268293
283,2012,1610612751,BKN,41,49,26,82,7944,7798,1.7804878048780488,0.5975609756097561,0.6341463414634146,0.5609756097560976
284,2012,1610612752,NYK,41,54,31,82,8196,7849,4.2317073170731705,0.6585365853658537,0.7560975609756098,0.5609756097560976
285,2012,1610612753,ORL,41,20,12,82,7718,8291,-6.987804878048781,0.24390243902439024,0.2926829268292683,0.1951219512195122
286,2012,1610612754,IND,41,49,30,81,7674,7348,4.0246913580246915,0.6049382716049383,0.7317073170731707,0.475
287,2012,1610612755,PHI,41,34,23,82,7640,7914,-3.341463414634146,0.4146341463414634,0.5609756097560976,0.2682926829268293
288,2012,1610612756,PHX,41,25,17,82,7805,8335,-6.463414634146342,0.3048780487804878,0.4146341463414634,0.1951219512195122
289,2012,1610612757,POR,41,33,22,82,7995,8255,-3.1707317073170733,0.4024390243902439,0.5365853658536586,0.2682926829268293
290,2012,1610612758,SAC,41,28,20,82,8219,8619,-4.878048780487805,0.34146341463414637,0.4878048780487805,0.1951219512195122
291,2012,1610612759,SAS,41,58,35,82,8448,7923,6.402439024390244,0.7073170731707317,0.8536585365853658,0.5609756097560976
292,2012,1610612760,OKC,41,60,34,82,8669,7914,9.207317073170731,0.7317073170731707,0.8292682926829268,0.6341463414634146
293,2012,1610612761,TOR,41,34,21,82,7971,8092,-1.475609756097561,0.4146341463414634,0.5121951219512195,0.3170731707317073
294,2012,1610612762,UTA,41,43,30,82,8038,8045,-0.08536585365853659,0.524390243902439,0.7317073170731707,0.3170731707317073
295,2012,1610612763,MEM,41,56,32,82,7659,7319,4.146341463414634,0.6829268292682927,0.7804878048780488,0.5853658536585366
296,2012,1610612764,WAS,41,29,22,82,7644,7852,-2.5365853658536586,0.35365853658536583,0.5365853658536586,0.17073170731707318
297,2012,1610612765,DET,41,29,18,82,7778,8105,-3.9878048780487805,0.35365853658536583,0.43902439024390244,0.2682926829268293
298,2012,1610612766,CHA,41,21,15,82,7661,8418,-9.231707317073171,0.25609756097560976,0.36585365853658536,0.14634146341463414
299,2013,1610612737,ATL,41,38,24,82,8282,8321,-0.47560975609756095,0.4634146341463415,0.5853658536585366,0.34146341463414637
300,2013,1610612738,BOS,41,25,16,82,7892,8258,-4.463414634146342,0.3048780487804878,0.3902439024390244,0.21951219512195122
301,2013,1610612739,CLE,41,33,19,82,8054,8324,-3.292682926829268,0.4024390243902439,0.4634146341463415,0.34146341463414637
